movieId,title,genres,title_cleaned,release_year,genres_str,combined_features,avg_rating,vibe_cluster
49,When Night Is Falling (1995),"['Drama', 'Romance']",When Night Is Falling,1995,drama romance,When Night Is Falling drama romance,3.0,2
50,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']","Usual Suspects, The",1995,crime mystery thriller,"Usual Suspects, The crime mystery thriller",4.237745098039215,6
52,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']",Mighty Aphrodite,1995,comedy drama romance,Mighty Aphrodite comedy drama romance,3.4642857142857144,2
53,Lamerica (1994),"['Adventure', 'Drama']",Lamerica,1994,adventure drama,Lamerica adventure drama,5.0,6
54,"Big Green, The (1995)","['Children', 'Comedy']","Big Green, The",1995,children comedy,"Big Green, The children comedy",2.333333333333333,3
55,Georgia (1995),['Drama'],Georgia,1995,drama,Georgia drama,4.0,6
57,Home for the Holidays (1995),['Drama'],Home for the Holidays,1995,drama,Home for the Holidays drama,3.0625,6
58,"Postman, The (Postino, Il) (1994)","['Comedy', 'Drama', 'Romance']","Postman, The (Postino, Il)",1994,comedy drama romance,"Postman, The (Postino, Il) comedy drama romance",4.027027027027027,2
60,"Indian in the Cupboard, The (1995)","['Adventure', 'Children', 'Fantasy']","Indian in the Cupboard, The",1995,adventure children fantasy,"Indian in the Cupboard, The adventure children fantasy",3.235294117647059,3
61,Eye for an Eye (1996),"['Drama', 'Thriller']",Eye for an Eye,1996,drama thriller,Eye for an Eye drama thriller,3.75,6
62,Mr. Holland's Opus (1995),['Drama'],Mr. Holland's Opus,1995,drama,Mr. Holland's Opus drama,3.70625,6
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['Comedy', 'Crime']",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,comedy crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood comedy crime,2.7142857142857144,7
64,Two if by Sea (1996),"['Comedy', 'Romance']",Two if by Sea,1996,comedy romance,Two if by Sea comedy romance,2.2,2
65,Bio-Dome (1996),['Comedy'],Bio-Dome,1996,comedy,Bio-Dome comedy,2.532258064516129,7
66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Action', 'Sci-Fi', 'Thriller']",Lawnmower Man 2: Beyond Cyberspace,1996,action sci-fi thriller,Lawnmower Man 2: Beyond Cyberspace action sci-fi thriller,2.5,4
68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",French Twist (Gazon maudit),1995,comedy romance,French Twist (Gazon maudit) comedy romance,3.4,2
69,Friday (1995),['Comedy'],Friday,1995,comedy,Friday comedy,3.775,7
70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']",From Dusk Till Dawn,1996,action comedy horror thriller,From Dusk Till Dawn action comedy horror thriller,3.5090909090909093,1
71,Fair Game (1995),['Action'],Fair Game,1995,action,Fair Game action,1.7,0
72,Kicking and Screaming (1995),"['Comedy', 'Drama']",Kicking and Screaming,1995,comedy drama,Kicking and Screaming comedy drama,3.2142857142857144,7
73,"Misérables, Les (1995)","['Drama', 'War']","Misérables, Les",1995,drama war,"Misérables, Les drama war",3.4615384615384617,5
74,Bed of Roses (1996),"['Drama', 'Romance']",Bed of Roses,1996,drama romance,Bed of Roses drama romance,4.0,2
75,Big Bully (1996),"['Comedy', 'Drama']",Big Bully,1996,comedy drama,Big Bully comedy drama,2.2,7
76,Screamers (1995),"['Action', 'Sci-Fi', 'Thriller']",Screamers,1995,action sci-fi thriller,Screamers action sci-fi thriller,3.4,4
77,Nico Icon (1995),['Documentary'],Nico Icon,1995,documentary,Nico Icon documentary,4.0,7
78,"Crossing Guard, The (1995)","['Action', 'Crime', 'Drama', 'Thriller']","Crossing Guard, The",1995,action crime drama thriller,"Crossing Guard, The action crime drama thriller",3.333333333333333,0
79,"Juror, The (1996)","['Drama', 'Thriller']","Juror, The",1996,drama thriller,"Juror, The drama thriller",2.764705882352941,6
80,"White Balloon, The (Badkonake sefid) (1995)","['Children', 'Drama']","White Balloon, The (Badkonake sefid)",1995,children drama,"White Balloon, The (Badkonake sefid) children drama",4.0,6
81,Things to Do in Denver When You're Dead (1995),"['Crime', 'Drama', 'Romance']",Things to Do in Denver When You're Dead,1995,crime drama romance,Things to Do in Denver When You're Dead crime drama romance,3.107142857142857,2
82,Antonia's Line (Antonia) (1995),"['Comedy', 'Drama']",Antonia's Line (Antonia),1995,comedy drama,Antonia's Line (Antonia) comedy drama,3.875,7
83,Once Upon a Time... When We Were Colored (1995),"['Drama', 'Romance']",Once Upon a Time... When We Were Colored,1995,drama romance,Once Upon a Time... When We Were Colored drama romance,3.0,2
85,Angels and Insects (1995),"['Drama', 'Romance']",Angels and Insects,1995,drama romance,Angels and Insects drama romance,3.857142857142857,2
86,White Squall (1996),"['Action', 'Adventure', 'Drama']",White Squall,1996,action adventure drama,White Squall action adventure drama,3.966666666666667,0
87,Dunston Checks In (1996),"['Children', 'Comedy']",Dunston Checks In,1996,children comedy,Dunston Checks In children comedy,2.5,3
88,Black Sheep (1996),['Comedy'],Black Sheep,1996,comedy,Black Sheep comedy,3.15625,7
89,Nick of Time (1995),"['Action', 'Thriller']",Nick of Time,1995,action thriller,Nick of Time action thriller,3.25,0
92,Mary Reilly (1996),"['Drama', 'Horror', 'Thriller']",Mary Reilly,1996,drama horror thriller,Mary Reilly drama horror thriller,2.625,1
93,Vampire in Brooklyn (1995),"['Comedy', 'Horror', 'Romance']",Vampire in Brooklyn,1995,comedy horror romance,Vampire in Brooklyn comedy horror romance,2.833333333333333,1
94,Beautiful Girls (1996),"['Comedy', 'Drama', 'Romance']",Beautiful Girls,1996,comedy drama romance,Beautiful Girls comedy drama romance,3.95,2
95,Broken Arrow (1996),"['Action', 'Adventure', 'Thriller']",Broken Arrow,1996,action adventure thriller,Broken Arrow action adventure thriller,3.023809523809524,0
96,In the Bleak Midwinter (1995),"['Comedy', 'Drama']",In the Bleak Midwinter,1995,comedy drama,In the Bleak Midwinter comedy drama,3.5,7
97,"Hate (Haine, La) (1995)","['Crime', 'Drama']","Hate (Haine, La)",1995,crime drama,"Hate (Haine, La) crime drama",3.9,6
99,Heidi Fleiss: Hollywood Madam (1995),['Documentary'],Heidi Fleiss: Hollywood Madam,1995,documentary,Heidi Fleiss: Hollywood Madam documentary,5.0,7
100,City Hall (1996),"['Drama', 'Thriller']",City Hall,1996,drama thriller,City Hall drama thriller,2.7857142857142856,6
101,Bottle Rocket (1996),"['Adventure', 'Comedy', 'Crime', 'Romance']",Bottle Rocket,1996,adventure comedy crime romance,Bottle Rocket adventure comedy crime romance,3.782608695652174,2
102,Mr. Wrong (1996),['Comedy'],Mr. Wrong,1996,comedy,Mr. Wrong comedy,2.4,7
103,Unforgettable (1996),"['Mystery', 'Sci-Fi', 'Thriller']",Unforgettable,1996,mystery sci-fi thriller,Unforgettable mystery sci-fi thriller,3.0,4
104,Happy Gilmore (1996),['Comedy'],Happy Gilmore,1996,comedy,Happy Gilmore comedy,3.4393939393939394,7
105,"Bridges of Madison County, The (1995)","['Drama', 'Romance']","Bridges of Madison County, The",1995,drama romance,"Bridges of Madison County, The drama romance",3.282608695652174,2
106,Nobody Loves Me (Keiner liebt mich) (1994),"['Comedy', 'Drama']",Nobody Loves Me (Keiner liebt mich),1994,comedy drama,Nobody Loves Me (Keiner liebt mich) comedy drama,4.0,7
107,Muppet Treasure Island (1996),"['Adventure', 'Children', 'Comedy', 'Musical']",Muppet Treasure Island,1996,adventure children comedy musical,Muppet Treasure Island adventure children comedy musical,3.326923076923077,3
108,Catwalk (1996),['Documentary'],Catwalk,1996,documentary,Catwalk documentary,4.0,7
110,Braveheart (1995),"['Action', 'Drama', 'War']",Braveheart,1995,action drama war,Braveheart action drama war,4.031645569620253,5
111,Taxi Driver (1976),"['Crime', 'Drama', 'Thriller']",Taxi Driver,1976,crime drama thriller,Taxi Driver crime drama thriller,4.105769230769231,6
112,Rumble in the Bronx (Hont faan kui) (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",Rumble in the Bronx (Hont faan kui),1995,action adventure comedy crime,Rumble in the Bronx (Hont faan kui) action adventure comedy crime,3.5434782608695654,0
113,Before and After (1996),"['Drama', 'Mystery']",Before and After,1996,drama mystery,Before and After drama mystery,3.333333333333333,6
116,Anne Frank Remembered (1995),['Documentary'],Anne Frank Remembered,1995,documentary,Anne Frank Remembered documentary,3.9,7
117,"Young Poisoner's Handbook, The (1995)","['Crime', 'Drama']","Young Poisoner's Handbook, The",1995,crime drama,"Young Poisoner's Handbook, The crime drama",3.0,6
118,If Lucy Fell (1996),"['Comedy', 'Romance']",If Lucy Fell,1996,comedy romance,If Lucy Fell comedy romance,2.5,2
119,"Steal Big, Steal Little (1995)",['Comedy'],"Steal Big, Steal Little",1995,comedy,"Steal Big, Steal Little comedy",3.0,7
121,"Boys of St. Vincent, The (1992)",['Drama'],"Boys of St. Vincent, The",1992,drama,"Boys of St. Vincent, The drama",4.0,6
122,Boomerang (1992),"['Comedy', 'Romance']",Boomerang,1992,comedy romance,Boomerang comedy romance,2.65625,2
123,Chungking Express (Chung Hing sam lam) (1994),"['Drama', 'Mystery', 'Romance']",Chungking Express (Chung Hing sam lam),1994,drama mystery romance,Chungking Express (Chung Hing sam lam) drama mystery romance,4.375,6
125,Flirting With Disaster (1996),['Comedy'],Flirting With Disaster,1996,comedy,Flirting With Disaster comedy,3.583333333333333,7
126,"NeverEnding Story III, The (1994)","['Adventure', 'Children', 'Fantasy']","NeverEnding Story III, The",1994,adventure children fantasy,"NeverEnding Story III, The adventure children fantasy",2.0,3
128,Jupiter's Wife (1994),['Documentary'],Jupiter's Wife,1994,documentary,Jupiter's Wife documentary,3.0,7
129,Pie in the Sky (1996),"['Comedy', 'Romance']",Pie in the Sky,1996,comedy romance,Pie in the Sky comedy romance,2.0,2
132,Jade (1995),['Thriller'],Jade,1995,thriller,Jade thriller,2.833333333333333,6
135,Down Periscope (1996),['Comedy'],Down Periscope,1996,comedy,Down Periscope comedy,2.9516129032258065,7
137,Man of the Year (1995),['Documentary'],Man of the Year,1995,documentary,Man of the Year documentary,3.0,7
140,Up Close and Personal (1996),"['Drama', 'Romance']",Up Close and Personal,1996,drama romance,Up Close and Personal drama romance,3.5,2
141,"Birdcage, The (1996)",['Comedy'],"Birdcage, The",1996,comedy,"Birdcage, The comedy",3.494186046511628,7
144,"Brothers McMullen, The (1995)",['Comedy'],"Brothers McMullen, The",1995,comedy,"Brothers McMullen, The comedy",3.333333333333333,7
145,Bad Boys (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Bad Boys,1995,action comedy crime drama thriller,Bad Boys action comedy crime drama thriller,3.2450980392156863,0
146,"Amazing Panda Adventure, The (1995)","['Adventure', 'Children']","Amazing Panda Adventure, The",1995,adventure children,"Amazing Panda Adventure, The adventure children",3.333333333333333,3
147,"Basketball Diaries, The (1995)",['Drama'],"Basketball Diaries, The",1995,drama,"Basketball Diaries, The drama",3.466666666666667,6
148,"Awfully Big Adventure, An (1995)",['Drama'],"Awfully Big Adventure, An",1995,drama,"Awfully Big Adventure, An drama",5.0,6
149,Amateur (1994),"['Crime', 'Drama', 'Thriller']",Amateur,1994,crime drama thriller,Amateur crime drama thriller,2.0,6
150,Apollo 13 (1995),"['Adventure', 'Drama', 'IMAX']",Apollo 13,1995,adventure drama imax,Apollo 13 adventure drama imax,3.845771144278607,6
151,Rob Roy (1995),"['Action', 'Drama', 'Romance', 'War']",Rob Roy,1995,action drama romance war,Rob Roy action drama romance war,3.5454545454545454,5
152,"Addiction, The (1995)","['Drama', 'Horror']","Addiction, The",1995,drama horror,"Addiction, The drama horror",1.5,1
153,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']",Batman Forever,1995,action adventure comedy crime,Batman Forever action adventure comedy crime,2.916058394160584,0
154,Beauty of the Day (Belle de jour) (1967),['Drama'],Beauty of the Day (Belle de jour),1967,drama,Beauty of the Day (Belle de jour) drama,3.875,6
155,Beyond Rangoon (1995),"['Adventure', 'Drama', 'War']",Beyond Rangoon,1995,adventure drama war,Beyond Rangoon adventure drama war,2.4166666666666665,5
156,Blue in the Face (1995),"['Comedy', 'Drama']",Blue in the Face,1995,comedy drama,Blue in the Face comedy drama,3.333333333333333,7
157,Canadian Bacon (1995),"['Comedy', 'War']",Canadian Bacon,1995,comedy war,Canadian Bacon comedy war,2.863636363636364,5
158,Casper (1995),"['Adventure', 'Children']",Casper,1995,adventure children,Casper adventure children,2.806451612903226,3
159,Clockers (1995),"['Crime', 'Drama', 'Mystery']",Clockers,1995,crime drama mystery,Clockers crime drama mystery,2.892857142857143,6
160,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",Congo,1995,action adventure mystery sci-fi,Congo action adventure mystery sci-fi,2.8771929824561404,4
161,Crimson Tide (1995),"['Drama', 'Thriller', 'War']",Crimson Tide,1995,drama thriller war,Crimson Tide drama thriller war,3.6359223300970873,5
162,Crumb (1994),['Documentary'],Crumb,1994,documentary,Crumb documentary,4.205882352941177,7
163,Desperado (1995),"['Action', 'Romance', 'Western']",Desperado,1995,action romance western,Desperado action romance western,3.560606060606061,2
164,Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",Devil in a Blue Dress,1995,crime film-noir mystery thriller,Devil in a Blue Dress crime film-noir mystery thriller,3.321428571428572,6
165,Die Hard: With a Vengeance (1995),"['Action', 'Crime', 'Thriller']",Die Hard: With a Vengeance,1995,action crime thriller,Die Hard: With a Vengeance action crime thriller,3.555555555555556,0
166,"Doom Generation, The (1995)","['Comedy', 'Crime', 'Drama']","Doom Generation, The",1995,comedy crime drama,"Doom Generation, The comedy crime drama",2.833333333333333,6
168,First Knight (1995),"['Action', 'Drama', 'Romance']",First Knight,1995,action drama romance,First Knight action drama romance,3.083333333333333,2
169,Free Willy 2: The Adventure Home (1995),"['Adventure', 'Children', 'Drama']",Free Willy 2: The Adventure Home,1995,adventure children drama,Free Willy 2: The Adventure Home adventure children drama,2.4,3
170,Hackers (1995),"['Action', 'Adventure', 'Crime', 'Thriller']",Hackers,1995,action adventure crime thriller,Hackers action adventure crime thriller,3.2285714285714286,0
171,Jeffrey (1995),"['Comedy', 'Drama']",Jeffrey,1995,comedy drama,Jeffrey comedy drama,3.8333333333333335,7
172,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']",Johnny Mnemonic,1995,action sci-fi thriller,Johnny Mnemonic action sci-fi thriller,2.679245283018868,4
173,Judge Dredd (1995),"['Action', 'Crime', 'Sci-Fi']",Judge Dredd,1995,action crime sci-fi,Judge Dredd action crime sci-fi,2.669354838709677,4
174,Jury Duty (1995),['Comedy'],Jury Duty,1995,comedy,Jury Duty comedy,2.7,7
175,Kids (1995),['Drama'],Kids,1995,drama,Kids drama,3.975,6
176,Living in Oblivion (1995),['Comedy'],Living in Oblivion,1995,comedy,Living in Oblivion comedy,4.307692307692308,7
177,Lord of Illusions (1995),['Horror'],Lord of Illusions,1995,horror,Lord of Illusions horror,2.75,1
178,Love & Human Remains (1993),"['Comedy', 'Drama']",Love & Human Remains,1993,comedy drama,Love & Human Remains comedy drama,1.0,7
179,Mad Love (1995),"['Drama', 'Romance']",Mad Love,1995,drama romance,Mad Love drama romance,1.5,2
180,Mallrats (1995),"['Comedy', 'Romance']",Mallrats,1995,comedy romance,Mallrats comedy romance,3.4027777777777777,2
181,Mighty Morphin Power Rangers: The Movie (1995),"['Action', 'Children']",Mighty Morphin Power Rangers: The Movie,1995,action children,Mighty Morphin Power Rangers: The Movie action children,2.264705882352941,3
183,Mute Witness (1994),"['Comedy', 'Horror', 'Thriller']",Mute Witness,1994,comedy horror thriller,Mute Witness comedy horror thriller,3.5,1
184,Nadja (1994),['Drama'],Nadja,1994,drama,Nadja drama,3.5,6
185,"Net, The (1995)","['Action', 'Crime', 'Thriller']","Net, The",1995,action crime thriller,"Net, The action crime thriller",3.040178571428572,0
186,Nine Months (1995),"['Comedy', 'Romance']",Nine Months,1995,comedy romance,Nine Months comedy romance,2.8229166666666665,2
187,Party Girl (1995),['Comedy'],Party Girl,1995,comedy,Party Girl comedy,4.125,7
188,"Prophecy, The (1995)","['Fantasy', 'Horror', 'Mystery']","Prophecy, The",1995,fantasy horror mystery,"Prophecy, The fantasy horror mystery",3.458333333333333,1
189,Reckless (1995),"['Comedy', 'Fantasy']",Reckless,1995,comedy fantasy,Reckless comedy fantasy,3.0,7
190,Safe (1995),['Thriller'],Safe,1995,thriller,Safe thriller,2.8,6
191,"Scarlet Letter, The (1995)","['Drama', 'Romance']","Scarlet Letter, The",1995,drama romance,"Scarlet Letter, The drama romance",2.4166666666666665,2
193,Showgirls (1995),['Drama'],Showgirls,1995,drama,Showgirls drama,2.4714285714285715,6
194,Smoke (1995),"['Comedy', 'Drama']",Smoke,1995,comedy drama,Smoke comedy drama,3.6666666666666665,7
195,Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']",Something to Talk About,1995,comedy drama romance,Something to Talk About comedy drama romance,3.1,2
196,Species (1995),"['Horror', 'Sci-Fi']",Species,1995,horror sci-fi,Species horror sci-fi,2.6666666666666665,4
198,Strange Days (1995),"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Strange Days,1995,action crime drama mystery sci-fi thriller,Strange Days action crime drama mystery sci-fi thriller,3.25,4
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","['Drama', 'Musical', 'Romance']","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,drama musical romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) drama musical romance",4.125,6
201,Three Wishes (1995),"['Drama', 'Fantasy']",Three Wishes,1995,drama fantasy,Three Wishes drama fantasy,3.0,6
202,Total Eclipse (1995),"['Drama', 'Romance']",Total Eclipse,1995,drama romance,Total Eclipse drama romance,3.0,2
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",['Comedy'],"To Wong Foo, Thanks for Everything! Julie Newmar",1995,comedy,"To Wong Foo, Thanks for Everything! Julie Newmar comedy",3.4318181818181817,7
204,Under Siege 2: Dark Territory (1995),['Action'],Under Siege 2: Dark Territory,1995,action,Under Siege 2: Dark Territory action,2.716666666666667,0
205,Unstrung Heroes (1995),"['Comedy', 'Drama']",Unstrung Heroes,1995,comedy drama,Unstrung Heroes comedy drama,3.1666666666666665,7
206,Unzipped (1995),['Documentary'],Unzipped,1995,documentary,Unzipped documentary,3.0,7
207,"Walk in the Clouds, A (1995)","['Drama', 'Romance']","Walk in the Clouds, A",1995,drama romance,"Walk in the Clouds, A drama romance",3.4285714285714284,2
208,Waterworld (1995),"['Action', 'Adventure', 'Sci-Fi']",Waterworld,1995,action adventure sci-fi,Waterworld action adventure sci-fi,2.9130434782608696,4
209,White Man's Burden (1995),['Drama'],White Man's Burden,1995,drama,White Man's Burden drama,3.1666666666666665,6
210,Wild Bill (1995),['Western'],Wild Bill,1995,western,Wild Bill western,3.0,7
211,"Browning Version, The (1994)",['Drama'],"Browning Version, The",1994,drama,"Browning Version, The drama",3.5,6
212,Bushwhacked (1995),"['Adventure', 'Comedy', 'Crime', 'Mystery']",Bushwhacked,1995,adventure comedy crime mystery,Bushwhacked adventure comedy crime mystery,3.0,0
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),['Drama'],Burnt by the Sun (Utomlyonnye solntsem),1994,drama,Burnt by the Sun (Utomlyonnye solntsem) drama,3.8333333333333335,6
214,Before the Rain (Pred dozhdot) (1994),"['Drama', 'War']",Before the Rain (Pred dozhdot),1994,drama war,Before the Rain (Pred dozhdot) drama war,4.0,5
215,Before Sunrise (1995),"['Drama', 'Romance']",Before Sunrise,1995,drama romance,Before Sunrise drama romance,4.041666666666667,2
216,Billy Madison (1995),['Comedy'],Billy Madison,1995,comedy,Billy Madison comedy,3.326530612244898,7
217,"Babysitter, The (1995)","['Drama', 'Thriller']","Babysitter, The",1995,drama thriller,"Babysitter, The drama thriller",2.333333333333333,6
218,Boys on the Side (1995),"['Comedy', 'Drama']",Boys on the Side,1995,comedy drama,Boys on the Side comedy drama,3.4285714285714284,7
219,"Cure, The (1995)",['Drama'],"Cure, The",1995,drama,"Cure, The drama",3.0,6
220,Castle Freak (1995),['Horror'],Castle Freak,1995,horror,Castle Freak horror,3.0,1
222,Circle of Friends (1995),"['Drama', 'Romance']",Circle of Friends,1995,drama romance,Circle of Friends drama romance,3.75,2
223,Clerks (1994),['Comedy'],Clerks,1994,comedy,Clerks comedy,3.855769230769231,7
224,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']",Don Juan DeMarco,1995,comedy drama romance,Don Juan DeMarco comedy drama romance,3.6125,2
225,Disclosure (1994),"['Drama', 'Thriller']",Disclosure,1994,drama thriller,Disclosure drama thriller,3.5384615384615383,6
227,Drop Zone (1994),"['Action', 'Thriller']",Drop Zone,1994,action thriller,Drop Zone action thriller,2.863636363636364,0
228,Destiny Turns on the Radio (1995),['Comedy'],Destiny Turns on the Radio,1995,comedy,Destiny Turns on the Radio comedy,2.333333333333333,7
229,Death and the Maiden (1994),"['Drama', 'Thriller']",Death and the Maiden,1994,drama thriller,Death and the Maiden drama thriller,3.4285714285714284,6
